82;ACULAR;5mg;111;Env. X 5 mL;1;2010-12-28;E13496;369
83;ACUPAXIL;300mg/50mL;128;Env.;1;2012-07-19;E19579;409
84;ADACEL;;148;Caja Fco. X 0.5 mL;1;2014-01-08;BE00571;396
85;ADALAT;10mg;8;Caja Cap.;96;2004-12-15;E12393;37
86;ADALAT OROS;20mg;152;Caja Tab.;8;2013-11-24;E11342;37
87;ADALAT OROS;20mg;152;Caja Tab.;16;2013-11-24;E11342;37
88;ADALAT OROS;30mg;152;Caja Tab.;8;2009-12-30;E12458;37
89;ADALAT OROS;30mg;152;Caja Tab.;16;2009-12-30;E12458;37
90;ADALAT OROS;60mg;152;Caja Tab.;8;2010-02-15;E12635;37
91;ADALAT OROS;60mg;152;Caja Tab.;16;2010-02-15;E12635;37
92;ADAPNE;0.001;52;Tubo X 30 g;1;2013-08-13;E20908;402
93;ADAX;200mg;162;Caja Tab.;60;2013-01-16;N20490;167
94;ADAX;400mg;162;Caja Tab.;60;2013-01-16;N20491;167
95;ADAX;600mg;162;Caja Tab.;60;2012-12-20;N20437;167
96;ADAX FLU;200mg+30mg;162;Caja Tab.;60;2009-08-23;N21367;167
97;ADAX FLU;100mg+15mg/5mL;77;Fco. X 60 mL;1;2010-03-17;N21643;167
98;ADAX FLU FORTE;400mg+60mg;162;Caja Tab.;60;2010-04-12;N21696;167
99;ADAX FLU FORTE;200mg+30mg/5mL;77;Fco. X 60 mL;1;2010-02-28;N21601;167
100;ADAX;100mg/5mL;141;Fco. X 60 mL;1;2012-12-17;N16574;167
101;ADAX;100mg/5mL;141;Fco. X 120 mL;1;2012-12-17;N16574;167
102;ADAZOL;100mg/5mL;141;Caja Fco. X 20 mL;5;2014-07-07;E16588;381
103;ADAZOL;200mg;160;Caja Tab.;50;2013-03-31;E15411;381
104;ADECEROL;;112;Fco. Amp. X 10 mL;1;2011-08-18;N222;282
105;ADENEX;2mg;28;Caja Comp.;15;2009-10-19;E12244;418
106;ADENEX;5mg;28;Caja Comp.;15;2009-10-19;E12245;418
107;ADENEX;5mg;28;Caja Comp.;30;2009-10-19;E12245;418
108;ADENEX;10mg;28;Caja Comp.;15;2010-03-20;E12730;418
109;ADENEX;10mg;28;Caja Comp.;30;2010-03-20;E12730;418
110;ADIN N;550mg;152;Caja Tab.;100;2013-09-09;N24990;185
111;ADISAR;10mg;8;Caja Cap.;90;2010-09-14;E13212;381
112;ADISAR;15mg;8;Caja Cap.;90;2010-09-15;E13217;381
113;ADONA (AC 17);30mg;152;Caja Tab.;10;2012-06-14;N11142;167
114;ADONA (AC 17);50mg/10mL;74;Amp. X 10 mL;1;2012-06-14;N11144;167
115;ADONA (AC 17);100mg/20mL;74;Amp. X 20 mL;1;2012-06-14;N11145;167
116;ADRACON;50mg;152;Caja Tab.;2;2009-02-02;E16188;224
117;ADVANTAN;0.001;42;Tubo X 15 g;1;2012-05-15;E10222;37
118;ADVANTAN;0.001;111;Fco. X 20 mL;1;2013-03-09;E10716;37
119;ADVANTAN;0.001;48;Tubo X 20 g;1;2011-12-13;E14236;37
120;AERIUS;5mg;152;Caja Tab.;10;2011-06-01;E13908;293
121;AERIUS;5mg;152;Caja Tab.;30;2011-06-01;E13908;293
122;AERIUS;2.5mg/5mL;124;Fco. X 60 mL;1;2012-12-13;E15035;397
123;AERIUS;2.5mg/5mL;124;Fco. X 120 mL;1;2012-12-13;E15035;397
124;AERIUS D12;;152;Caja Tab.;10;2013-01-21;E20207;293
125;AERO OM SABOR ANIS;100mg/mL;57;Fco. X 15 mL;1;2011-05-29;N22562;315
126;AERO OM SABOR FRESA;100mg/mL;57;Fco. X 60 mL;1;2011-05-26;N22560;315
127;AERO OM SABOR MENTA;40mg;35;Caja Comp.;100;2011-05-19;N22544;315
128;AERO OM SABOR MENTA;40mg;35;Caja Comp.;30;2011-05-19;N22544;315
129;AERO OM SABOR ANIS;80mg;35;Caja Comp.;30;2011-08-21;N22773;315
130;AERO OM SABOR ANIS;80mg;35;Caja Comp.;100;2011-08-21;N22773;315
131;AERO OM FORTE SABOR ANIS;125mg;35;Caja Comp.;20;2011-11-10;N23007;315
132;AERO OM FORTE SABOR ANIS;125mg;35;Caja Comp.;100;2011-11-10;N23007;315
133;AERO SIM COMPUESTO;1mg+80mg/mL;57;Fco. Got. X 15 mL;1;2012-12-06;N24110;129
134;AEROCORT;;73;Fco. X 200 Dosis;1;2010-01-19;E17022;133
135;AEROFLUX;2mg+7.5mg/5mL;124;Fco. X 120 mL + Vaso Dosif.;1;2013-05-25;E10912;203
136;AERO-ITAN;;8;Caja Cap.;20;2011-02-09;E9180;164
137;AEROLER;100mcg/dosis;2;Caja Fco. X 150 Dosis;1;2011-09-15;E18767;370
138;AEROTROP;20mcg/dosis;2;Caja Fco. X 250 Dosis;1;2012-06-22;E19502;81
139;AEROX;80mg/mL;141;Fco. X 15 mL;1;2012-08-20;N23758;393
140;AEROX PLUS;;141;Fco. X 15 mL;1;2013-09-15;N25010;393
141;AFEBRIL;100mg/5mL;141;Fco. X 100 mL;1;2010-11-22;N18233;381
142;AFLAMAX;125mg/5mL;141;Fco. X 60 mL;1;2014-03-02;E16285;198
143;AFLAMAX;550mg;152;Caja Tab.;90;2014-01-30;E21501;198
144;AFLAMAX;275mg;152;Caja Tab.;120;2009-02-17;N21066;198
145;AFLAREX;0.001;141;5 mL;1;2012-04-22;E14562;13
146;AFLAXIL;275mg;162;Caja Tab.;100;2013-10-02;N25062;44
147;AFLOXX;7.5mg;152;Caja Tab.;10;2011-06-15;N22620;266
148;AFLOXX;7.5mg;152;Caja Tab.;100;2011-06-15;N22620;266
149;AFLOXX;15mg;152;Caja Tab.;10;2011-07-03;N22658;266
150;AFLOXX;15mg;152;Caja Tab.;100;2011-07-03;N22658;266
151;AFRIN SP;0.0005;6;Atom. X 15 mL;1;2013-07-21;E11041;37
152;AFRIN SP;0.0003;59;Fco. Got. X 15 mL;1;2013-07-21;E11042;37
153;AFUMIX;;152;Caja Tab.;4;2010-10-27;E17737;350
154;AGAROL EMULSION SABOR A VAINILLA;;48;Fco. X 240 mL;1;2011-02-16;E13638;235
155;AGGLAD OFTENO;0.002;123;Env. X 5 mL;1;2011-11-02;E18892;311
156;ALGLUTAMIN;0.2;128;Amp. X 50 mL;1;2010-06-01;E17386;16
157;AGRASTAT;0.25mg/mL;128;Caja Fco. Vial X 50 mL;1;2012-10-31;E19924;50
158;AGRIPPAL S1;;74;Caja Jer. Prell. X 0.5 mL;1;2014-04-19;BE00219;307
159;AINEX SP;100mg;152;Caja Tab.;10;2009-02-11;E7342;397
160;AIRUM JAT;;77;Fco. X 120 mL;1;2014-09-16;E21941;167
161;AK DILATE;0.1;111;Fco. Got. X 5 mL;1;2013-01-30;N20526;135
162;AK DILATE;0.025;57;Fco. Got. X 15 mL;1;2014-08-20;N26055;282
163;AK ESPORE;;57;Fco. Got. X 10 mL;1;2014-10-01;N26310;282
164;AK NEFRIN;0.0012;123;Fco. Got. X 15 mL;1;2014-09-01;N26127;282
165;AK PRED;;57;Fco. Got. X 5 mL;1;2014-09-11;N26204;282
166;AK TROL;;57;Fco. Got. X 5 mL;1;2014-12-22;N26653;135
167;AKINETON;5mg/mL;128;Amp. X 1 mL;1;2014-02-12;E21546;34
168;AKINETON;5mg/mL;128;Amp. X 1 mL;10;2014-02-12;E21546;34
169;AKWA R;0.003;123;Fco. Got. X 15 mL;1;2014-09-23;N26268;282
170;AKWA TEARS;0.014;57;Fco. Got. X 15 mL;1;2014-09-23;N26273;282
171;AKWAGEL AK;0.01;123;Fco. X 15 mL;1;2011-01-26;N22283;135
172;ALGLUTAMIN;0.2;128;Amp. X 500 mL;1;2010-06-01;E17386;16
173;ALBEN;100mg/5mL;141;Fco. X 20 mL;1;2012-05-23;N20226;44
174;ALBEN;200mg;152;Caja Tab.;50;2009-07-15;N21322;44
175;ALBENDAZOL;100mg/5mL;141;Fco. X 20 mL;2;2010-01-02;NG1411;167
176;ALBENDAZOL;200mg;152;Caja Tab.;100;2010-12-28;NG1407;167
177;ALBENDAZOL;100mg/5mL;141;Fco. X 20 mL;2;2010-09-21;NG2487;216
178;ALBENDAZOL;100mg/5mL;111;Caja Fco. X 20 mL;1;2011-12-10;NG3028;351
179;ALBENTEL;100mg/5mL;141;Caja Fco. X 20 mL;4;2011-04-25;N22507;129
180;ALBOTHYL;0.018;52;Tubo X 50 g + Aplicador;1;2013-01-09;E10558;416
181;ALBOTHYL;90mg;82;Caja Ov.;6;2013-01-09;E10560;416
182;ALBUMINA HUMANA;0.2;71;Fco. X 50 mL;1;2011-05-19;BE00342;50
183;ALCAINE;0.005;111;Fco. Got. X 15 mL;1;2012-04-15;E14542;13
184;ALCLIMAX;50mg;152;Caja Tab.;10;2011-04-04;N22454;369
185;ALCLIMAX;100mg;152;Caja Tab.;10;2011-04-04;N22455;369
186;ALE 70;70mg;152;Caja Tab.;4;2011-04-10;N22489;369
187;ALENDRA;70mg;152;Caja Tab.;5;2012-08-01;N20287;421
188;ALENDRA PACK;;152;Caja Tab.;40;2012-07-24;N23683;421
189;ALENDRON 70;70mg;152;Caja Tab. + Porta est.;5;2014-04-30;N25705;85
190;ACIDO ALENDRONICO;70mg;152;Caja Tab.;4;2010-03-02;EG4550;186
191;ACIDO ALENDRONICO;70mg;152;Caja Tab.;4;2011-07-03;NG4994;369
192;ACIDO ALENDRONICO;70mg;28;Caja Comp.;40;2006-12-28;NG3064;146
193;ALENOST;70mg;152;Caja Tab.;4;2010-06-24;E17448;26
194;ALERCET;10mg/mL;57;Fco. X 15 mL;1;2011-07-16;E14016;425
195;ALERCET;1mg/mL;77;Fco. X 60 mL;1;2006-04-02;E9359;425
196;ALERFAST;5mg/5mL;77;Fco. X 25 mL;1;2013-12-03;E7131;381
197;ALERFAST;5mg/5mL;77;Fco. X 100 mL;1;2013-12-03;E7131;381
198;ALERFAST D;5mg+60mg/5mL;77;Fco. X 60 mL;1;2013-01-21;E15189;381
199;ALERFEN;4mg;152;Caja Tab.;100;2011-05-08;N22516;369
200;ALERFORT;5mg;162;Caja Tab.;100;2013-05-12;N24608;308
201;ALERGIFEN;;42;Tubo X 20 g;1;2011-08-02;N22742;205
202;LEVOCERT;5mg/mL;57;Caja Fco. Got. X 15 mL;1;2011-06-05;N22591;282
203;ALERGIS;0.0075;76;Tubo X 20 g;1;2013-09-29;N20855;88
204;ALERGIZINA;5mg/5mL;77;Fco. X 60 mL;1;2013-09-04;N24975;225
205;ALERGIZINA;10mg;152;Caja Tab.;100;2014-12-01;N26574;225
206;ALERGIZINA D;120mg+5mg;8;Caja Cap.;120;2013-09-11;E21024;225
207;ALERMIZOL NUEVA FORMULA;10mg;28;Caja Comp.;50;2009-11-29;N19451;167
208;ALERMIZOL NUEVA FORMULA;5mg/5mL;141;Fco. X 100 mL;1;2014-11-29;N19450;167
209;ALERSIN;5mg/5mL;77;Fco. X 60 mL;1;2011-09-14;N22838;185
210;ALERSONA;0.01;42;Tubo X 20 g;1;2012-03-29;N23378;167
211;HIZALAB;5mg/5mL;77;Fco. X 60 mL;1;2012-08-13;N23739;431
212;HYZALAB;10mg;152;Caja Tab.;100;2012-02-13;N23248;431
213;EDEMSOFT;2.5mg;152;Caja Tab.;20;2014-05-19;E21699;131
214;ALESTOL-5;5mg;152;Caja Tab.;10;2014-08-19;E21870;40
215;ALETRIZ;5mg/5mL;77;Fco. X 60 mL;1;2012-01-04;N23133;257
216;ALETRIZ;10mg;152;Caja Tab.;100;2013-02-28;N24412;257
217;ALEXIA FORTE;180mg;28;Caja Comp.;10;2011-02-28;E18185;164
218;ALFUZOSINA CLORHIDRATO;10mg;152;Caja Tab.;30;2011-10-13;EG5143;197
219;ALGIAS;60mg/2mL;128;Fco. X 2 mL;25;2013-12-09;E16055;420
220;ALIVIOL;400mg;162;Caja Tab.;100;2012-08-14;N23745;145
221;ALIVIOL FORTE;800mg;162;Caja Tab.;100;2012-11-20;N24061;145
222;ALIVIOL JUNIOR;100mg/5mL;141;Fco. X 60 mL;1;2011-08-07;N22752;145
223;ALIZAR;0.0005;42;Tubo X 30 g;1;2013-07-18;N20760;167
224;ALIZAR;0.0005;171;Tubo X 30 g;1;2013-09-26;N20852;167
225;ALKA SELTZER;;157;Caja Tab.;12;2013-08-25;E6984;37
226;ALKA SELTZER;;157;Caja Tab.;60;2013-08-25;E6984;37
227;ALKA SELTZER DIGEST;;91;Caja Sobre;8;2011-06-15;E18478;37
228;ALKA SELTZER DIGEST;;91;Caja Sobre;50;2011-06-15;E18478;37
229;ALLEDRYL;5mg/5mL;77;Fco. X 60 mL;1;2010-09-05;E13176;363
230;ALOPURINOL;100mg;152;Caja Tab.;30;2012-07-26;NG3409;167
231;ALOPURINOL;300mg;152;Caja Tab.;30;2012-07-12;NG3397;167
232;ALOPURINOL;100mg;152;Caja Tab.;30;2010-10-20;NG1338;228
233;ALPAZ;0.5mg;152;Caja Tab.;100;2012-03-17;N14745;167
234;ALPAZ;0.25mg;152;Caja Tab.;20;2012-03-17;N14746;167
235;ALPAZ;1mg;152;Caja Tab.;20;2012-11-18;N14880;167
236;ALPAZ LP;0.5mg;152;Caja Tab.;30;2012-11-12;N24035;167
237;ALPAZ LP;1mg;152;Caja Tab.;30;2012-10-15;N23922;167
238;ALPAZ LP;2mg;152;Caja Tab.;30;2012-10-15;N23925;167
239;ALPAZ LP;3mg;152;Caja Tab.;30;2012-10-15;N23924;167
240;ALPHAGAN;0.002;111;Env. X 5 mL;1;2010-10-26;E13317;369
241;ALPHAGAN P;0.0015;111;Env. X 5 mL;1;2009-06-04;E16497;369
242;ALPRAZOLAM;0.5mg;152;Caja Tab.;200;2012-01-08;NG3084;167
243;ALPRAZOLAM;0.5mg;152;Caja Tab.;100;2010-06-19;NG2417;216
244;ALPRAZOLAM;0.25mg;152;Caja Tab.;100;2014-03-08;NG1948;216
245;ALPRAZOLAM;0.5mg;152;Caja Tab.;100;2008-12-04;EG4197;421
246;ALPRAZOLAM;0.5mg;152;Caja Tab.;100;2012-02-21;NG3214;300
247;ALPROSTADIL;20mcg/mL;128;Amp. X 1 mL;5;2014-03-20;EG6146;40
248;ALUVIA;;162;Caja Tab.;120;2012-06-25;E19511;3
249;AMARYL M;1mg+250mg;37;Caja Comp.;30;2011-12-26;E19045;396
250;AMARYL M;2mg+1g;28;Caja Comp.;16;2012-12-20;E20099;396
251;AMARYL M;2mg+500mg;37;Caja Comp.;30;2011-12-12;E18991;396
252;AMAZINA;10mg;28;Caja Comp.;10;2009-01-19;E16152;381
253;AMAZINA;5mg/5mL;124;Fco. X 60 mL;1;2014-01-19;E16153;381
254;AMAZINA D;5mg+120mg;8;Caja Cap.;10;2014-01-19;E16155;381
255;AMAZINA D;;77;Fco. X 60 mL;1;2014-01-20;E16159;381
256;AMBROMOX;;8;Caja Cap.;60;2010-04-27;N21733;167
257;AMBROMOX DUO;750mg+15mg/5mL;146;Fco. X 60 mL;1;2013-12-10;N20976;167
258;AMBROXIL;250mg+15mg/5mL;104;Fco. X 60 mL;1;2011-05-07;N19922;228
259;AMBROXIL;500mg+30mg;152;Caja Tab.;50;2011-05-09;N19926;228
260;AMBROXOL;15mg/5mL;77;Fco. X 120 mL;1;2014-01-07;EG6033;167
261;AMBROXOL;30mg/5mL;77;Fco. X 120 mL;1;2013-12-30;EG6024;167
262;AMBROXOL;15mg/5mL;77;Fco. X 120 mL;1;2016-11-07;NG2994;129
263;AMBROXOL;30mg/5mL;77;Fco. X 120 mL;1;2016-11-07;NG2996;129
264;AMBROXOL;30mg/5mL;77;Caja Fco. X 120 mL;1;2014-12-29;NG4556;351
265;AMBROXOL;15mg/5mL;77;Caja Fco. X 120 mL;1;2009-12-20;NG2238;351
266;AMBROXOL;30mg/5mL;77;Fco. X 100 mL;1;2013-06-05;EG3973;420
267;AMBROXOL;15mg/5mL;77;Fco. X 100 mL;1;2013-05-23;EG3952;420
268;AMIKABIOT;100mg/2mL;128;Caja Jer. Precarg. X 2 mL;1;2013-02-12;N16630;282
269;AMIKABIOT;1g/4mL;74;Caja Amp. X 4 mL + Jer.;1;2014-04-15;N21156;282
270;AMIKABIOT;250mg/2mL;74;Amp. X 2 mL;1;2013-02-17;N16635;282
271;AMIKABIOT;500mg/2mL;74;Caja Amp. X 2 mL;1;2013-02-17;N16636;282
272;AMIKACINA SULFATO;1g/4mL;128;Amp. X 4 mL;1;2014-08-11;NG6164;83
273;AMIKACINA;100mg/2mL;128;Amp. X 2 mL;100;2012-05-18;NG5340;83
274;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;100;2013-11-06;NG4089;83
275;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;50;2014-09-16;EG6252;344
276;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;25;2010-08-02;NG4718;25
277;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;100;2010-08-02;NG4718;25
278;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;1;2010-12-10;NG0030;167
279;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;25;2010-12-10;NG0030;167
280;AMIKACINA;100mg/2mL;128;Amp. X 2 mL;10;2014-01-14;EG6046;186
281;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;10;2014-01-07;EG6034;186
282;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;20;2008-02-24;NG3666;210
283;AMIKACINA;500mg/2mL;128;Caja Amp. X 2 mL;10;2013-11-05;EG5947;251
284;AMIKACINA;100mg/2mL;128;Amp. X 2 mL;50;2011-04-11;NG2714;282
285;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;50;2011-04-18;NG2719;282
286;AMIKACINA;100mg/2mL;128;Amp. X 2 mL;10;2009-11-16;EG2719;433
287;AMIKACINA;500mg/2mL;128;Amp. X 2 mL;10;2009-11-16;EG2720;433
288;AMIKAGRAM;1g/4mL;128;Caja Amp. X 4 mL + Jer.;1;2013-05-09;N24606;266
289;AMIKAGRAM;500mg/2mL;128;Caja Amp. X 2 mL + Jer.;1;2012-09-21;N23864;266
290;AMIKAMEK;500mg/2mL;128;Caja Vial X 2 mL;10;2013-06-16;E20764;249
291;AMIKIN;1g/4mL;74;Amp. X 4 mL;1;2011-02-20;E13645;51
292;AMIKIN;100mg/2mL;74;Amp. X 2 mL;1;2011-04-01;E9351;51
293;AMIKIN;250mg/2mL;74;Amp. X 2 mL;1;2011-04-12;E9374;51
294;AMIKIN;500mg/2mL;74;Amp. X 2 mL;1;2011-04-01;E9350;51
295;TRAXIMIN;0.1;74;Fco. X 500 mL;1;2013-07-08;E20831;16
296;AMINOFILINA;250mg/10mL;128;Caja Amp.;1;2012-12-16;EG2061;395
297;AMINORAL;;77;Fco. X 120 mL;1;2002-12-07;N13849;424
298;AMINORAL PLUS;;77;Fco. X 240 mL;1;2012-04-17;N18710;282
299;AMINORAL PLUS;;77;Caja Fco. X 60 mL;1;2012-04-17;N18710;282
300;AMIODARONA;150mg/3mL;128;Caja Amp.;50;2011-03-23;NG4892;6
301;AMIODARONA CLORHIDRATO;150mg/3mL;128;Caja Amp.;1;2014-03-04;EG959;395
302;AMIODARONA CLORHIDRATO;200mg;28;Caja Comp.;100;2010-05-20;NG4663;216
303;AMIODARONA;200mg;152;Caja Tab.;30;2012-06-24;NG3386;167
304;AMIODARONA;200mg;152;Caja Tab.;10;2010-02-18;EG4541;369
305;AMIODARONA;200mg;152;Caja Tab.;60;2010-06-03;NG4670;421
306;AMIODARONA;200mg;28;Caja Comp.;30;2011-02-22;NG4859;369
307;AMIOX K;;152;Caja Tab.;10;2011-03-28;N22426;385
308;AMIOX K;;152;Caja Tab.;100;2011-03-28;N22426;385
309;AMIOX P;;152;Caja Tab.;10;2011-03-22;N22410;385
310;AMIOX P;;152;Caja Tab.;100;2011-03-22;N22410;385
311;AMIKAMEK;100mg/2mL;128;Caja Vial X 2 mL;1;2013-06-16;E20763;249
312;AMIKAMEK;500mg/2mL;128;Caja Vial X 2 mL;1;2013-06-16;E20764;249
313;AMITRIPTILINA;25mg;162;Caja Tab.;100;2011-03-20;NG4887;167
314;AMIXEF POLVO;200mg/5mL;141;Fco. X 15 mL;1;2013-09-30;N25053;421
315;AMIXEF;500mg;162;Caja Tab.;15;2012-05-31;N23538;421
316;AMLOC;5mg;28;Caja Comp.;20;2013-03-20;N20594;167
317;AMLOC;10mg;28;Caja Comp.;10;2013-01-31;N20530;167
318;AMLODIK;10mg;152;Caja Tab.;10;2011-04-07;N22480;369
319;AMLODIPINO;5mg;152;Caja Tab.;10;2011-05-19;NG4947;369
320;AMLODIPINO;10mg;152;Caja Tab.;10;2011-06-12;NG4972;369
321;AMLODIPINO;5mg;28;Caja Comp.;100;2012-02-12;NG3169;146
322;AMLODIPINO;5mg;152;Caja Tab.;100;2014-03-29;NG1964;167
323;AMLODIPINO;10mg;152;Caja Tab.;30;2012-12-05;NG3534;167
324;AMLODIPINO;5mg;152;Caja Tab.;10;2008-11-26;NG4143;177
325;AMLODIPINO;5mg;152;Caja Tab.;10;2012-06-22;EG5399;243
